Ticker,Price,Slope,RVOL
ADANIENSOL,1703.3,0.004267,0.99
AEGISVOPAK,303.49,0.00773,0.86
AJANTPHARM,3386.1,0.002351,0.85
ANANTRAJ,616.9,0.002464,1.41
ASIANPAINT,2710.2,0.001046,0.83
BAJFINANCE,1048.3,0.002747,0.88
BAJAJFINSV,1913.0,0.001267,0.49
BAJAJHLDNG,10810.0,0.000751,1.1
BALRAMCHIN,611.65,0.002317,0.27
BHARATFORG,2181.3,0.002816,0.82
BPCL,316.25,0.001143,0.83
BHARTIARTL,1905.3,0.000994,0.89
BHARTIHEXA,1614.3,0.0008,0.73
BOSCHLTD,41250.0,0.002886,0.8
CRISIL,4486.3,0.000733,0.65
CHENNPETRO,1168.8,0.002777,0.89
CRAFTSMAN,9327.0,0.00198,0.39
CUMMINSIND,5629.5,0.00077,0.81
DIVISLAB,7414.0,0.001146,1.25
EICHERMOT,7769.5,0.001197,0.58
ELGIEQUIP,578.85,0.001453,0.33
EMCURE,1924.8,0.002128,1.79
EXIDEIND,427.0,0.004082,1.1
FEDERALBNK,356.5,0.003843,0.84
GABRIEL,1437.8,0.004665,0.78
GLAXO,2551.2,0.001587,0.87
MEDANTA,1407.2,0.002469,1.7
GODREJIND,1332.9,0.00378,0.18
GRASIM,3112.4,0.001061,0.48
FLUOROCHEM,4563.5,0.002785,0.6
HSCL,790.45,0.003929,0.59
IDFCFIRSTB,84.88,0.003616,7.06
IIFL,573.2,0.003942,0.86
JKCEMENT,5730.0,0.000682,0.45
KALYANKJIL,564.6,0.006932,0.38
KARURVYSYA,339.65,0.001547,0.36
LAURUSLABS,1713.4,0.004306,3.6
LENSKART,572.0,0.002175,0.74
LLOYDSME,2014.9,0.001323,2.74
MRF,132020.0,0.000917,0.57
M&MFIN,363.0,0.002043,0.5
MANAPPURAM,359.85,0.001809,0.99
MRPL,162.29,0.00133,0.48
MARICO,858.65,0.000603,0.53
NAVINFLUOR,7711.0,0.002032,1.22
NUVAMA,1916.6,0.005725,0.74
PTCIL,17923.0,0.001153,1.11
PIDILITIND,1611.3,0.002158,1.23
PNB,111.62,0.001311,0.59
RRKABEL,2525.3,0.00475,2.73
RECLTD,368.15,0.001028,1.76
RADICO,4149.5,0.00381,1.4
MOTHERSON,148.97,0.002295,0.85
SHREECEM,26860.0,0.001544,0.76
SOLARINDS,18628.0,0.001798,0.41
SONACOMS,720.9,0.003697,0.95
SUNPHARMA,1973.7,0.001122,2.48
SPLPETRO,760.9,0.001026,2.96
TVSMOTOR,3876.4,0.001433,0.54
TECHM,1575.0,0.001467,0.57
THERMAX,4454.5,0.00116,0.69
TITAN,4740.1,0.002296,0.55
UNITDSPR,1482.0,0.002298,1.16
ZEEL,108.86,0.003763,0.62
